Company,Description,Sector,Sector- Details,Region,Region-Details,Partnership,Partnership - Details,Year
Enel Core Onlus,"Improving refugee education by working with education organizations through the support for the Educate a Child program, specifically by bolstering teaching staff that exceeded 360 in schools with a high number of refugees by early-2016 through a half a million EUR million donation.",Energy,Energy,"Africa, Asia, Middle East",,"United Nations High Commissioner for Refugees, International non-profits","United Nations High Commissioner for Refugees, Education Above All Foundation",2015
180 LA,"Producing media content such as documentaries with the help of non-profits to draw attention to children affected by the war in Syria, and raise awareness about the plight of refugees. So far has created four short video stories highlighting the impact of the refugee crises for a global audience. ",Other,Media,Global,,International non-profits,The United Nations Children's Fund,2016
Accenture,"Providing in-kind services to non-profits working in displacement situations including refugee workforce development in host countries, internet connectivity and information management to refugees on the move, as well as promoting innovative solutions to the refugee crises by hosting competitions among students and entrepreneurs. Also using fingerprints and iris scanners, the company is working with non-profits on the ground to help improve refugee identity management systems through over hundreds of thousands of identifications so far.",Consulting,Consulting,"Asia, Africa",,"United Nations High Commissioner for Refugees, International non-profits","United Nations High Commissioner for Refugees, Upwardly Global, Partnership for Refugees, USA for United Nations High Commissioner for Refugees",2015
Adam Opel AG,"Working with federal and state governments as well as with local universities to give work, language, and cultural mentorship to refugees in host countries. So far the partnership has provided over 100 mentors to help refugees with the integration process.",Manufacturing,Production,Europe,,Government Agencies,Governments and universities,2016
Air BnB,"Providing travel credits through the Open Homes program giving free accommodation to refugee relief workers working in displacement situations, as well as launched platform with the help of multiple non-profits to match refugees with hosts with available rooms. Has so far provided 1.6 million for refugees and $200,000 of travel credits with a promise to help 100,000 refugees within the next five years.",Technology,Technology,Europe,,"United Nations High Commissioner for Refugees, International non-profits, Refugee-owned Businesses","United Nations High Commissioner for Refugees, Other global non-profits",2016
Alight Fund,"Working with refuge owned host country enterprises to provide micro-loans with a pledged to raise 100 million USD in micro-loan capital to invest in 50,000 refugee-owned businesses.",Services,Service,Middle East,,Refugee-owned Businesses,Refugees,2016
Audi,"Providing funds to support aid initiatives for refugee situations, letting employees suggest regional projects to help displaced individuals.",Manufacturing,Automobile manufacturer,Europe,,Numerous Partners of different types,Multiple,2015
Autodesk,"Pledging to donate 2 million USD in software, provide capacity support, as well as providing hundreds of subscription licenses to help with the physical settlement planning and design capacity of displacement situations with United Nations High Commissioner for Refugees.",Technology,Software,Global,,"United Nations High Commissioner for Refugees, International non-profits, Private Sector Organizations",United Nations High Commissioner for Refugees,2015
Axiom Education,"Developing online K-12 education in multiple languages in partnership with the education sector  to provide hundreds of culturally sensitive, no-cost online classes and trainings to refugees.",Education,Education,Global,,International non-profits,Education Sector,2016
BanQu,"Building app in partnership with local and international aid organizations that tracks financial transactions for displaced individuals, with a focus on the most vulnerable refugees living on less than two dollars; building credit for refugee populations and helping non-profit organizations track aid.",Technology,Technology,Africa,,"United Nations High Commissioner for Refugees, International non-profits, Private Sector Organizations","National aid organizations, banks, United Nations High Commissioner for Refugees",2016
